interpolation_factor,month,delivery_hour,is_weekend,zone,average_predicted_price,interpolation_factor,iso,time_bucket
0.8729852,1,1,True,Houston,0.95571494,0.9134368,ERCOT,7X16
0.8729852,1,1,True,North,0.9556753,0.9134747,ERCOT,7X16
0.8729852,1,1,True,Pan,0.9542344,0.914854,ERCOT,7X16
0.8729852,1,1,True,South,0.95571494,0.9134368,ERCOT,7X16
0.88600695,1,1,True,West,0.95498806,0.9277676,ERCOT,7X16
0.80065113,1,1,False,Houston,0.95571494,0.837751,ERCOT,7X16
0.80065113,1,1,False,North,0.9556753,0.8377857,ERCOT,7X16
0.77037543,1,1,False,Pan,0.9542344,0.80732304,ERCOT,7X16
0.80065113,1,1,False,South,0.95571494,0.837751,ERCOT,7X16
0.8285052,1,1,False,West,0.95498806,0.86755556,ERCOT,7X16
0.85046726,2,1,True,Houston,0.9414346,0.90337366,ERCOT,7X16
0.85046726,2,1,True,North,0.9414346,0.90337366,ERCOT,7X16
0.85046726,2,1,True,Pan,0.92091423,0.9235032,ERCOT,7X16
0.85046726,2,1,True,South,0.9414346,0.90337366,ERCOT,7X16
0.9036226,2,1,True,West,0.93489075,0.9665542,ERCOT,7X16
0.77699625,2,1,False,Houston,0.9414346,0.82533216,ERCOT,7X16
0.77699625,2,1,False,North,0.9414346,0.82533216,ERCOT,7X16
0.73676455,2,1,False,Pan,0.92091423,0.800036,ERCOT,7X16
0.77699625,2,1,False,South,0.9414346,0.82533216,ERCOT,7X16
0.79452544,2,1,False,West,0.93489075,0.8498591,ERCOT,7X16
0.83869404,3,1,True,Houston,0.969814,0.86479884,ERCOT,7X16
0.83869404,3,1,True,North,0.9706504,0.86405367,ERCOT,7X16
0.79118973,3,1,True,Pan,0.9982429,0.7925824,ERCOT,7X16
0.83869404,3,1,True,South,0.9706504,0.86405367,ERCOT,7X16
0.9203447,3,1,True,West,0.9772634,0.9417571,ERCOT,7X16
0.7672648,3,1,False,Houston,0.969814,0.79114634,ERCOT,7X16
0.7672648,3,1,False,North,0.9706504,0.79046464,ERCOT,7X16
0.6605675,3,1,False,Pan,0.9982429,0.66173023,ERCOT,7X16
0.7672648,3,1,False,South,0.9706504,0.79046464,ERCOT,7X16
0.793657,3,1,False,West,0.9772634,0.8121219,ERCOT,7X16
0.8319312,4,1,True,Houston,0.9742145,0.85395074,ERCOT,7X16
0.8326295,4,1,True,North,0.97560173,0.85345227,ERCOT,7X16
0.78770965,4,1,True,Pan,0.96982884,0.81221515,ERCOT,7X16
0.8326295,4,1,True,South,0.97560173,0.85345227,ERCOT,7X16
0.90112484,4,1,True,West,0.99613786,0.9046186,ERCOT,7X16
0.77342284,4,1,False,Houston,0.9742145,0.7938938,ERCOT,7X16
0.77412117,4,1,False,North,0.97560173,0.7934807,ERCOT,7X16
0.67000836,4,1,False,Pan,0.96982884,0.69085217,ERCOT,7X16
0.77412117,4,1,False,South,0.97560173,0.7934807,ERCOT,7X16
0.79030216,4,1,False,West,0.99613786,0.79336625,ERCOT,7X16
0.6715575,5,1,True,Houston,0.91842383,0.73120654,ERCOT,7X16
0.70604813,5,1,True,North,0.9259486,0.7625133,ERCOT,7X16
0.6709317,5,1,True,Pan,0.91974765,0.72947365,ERCOT,7X16
0.70604813,5,1,True,South,0.9259486,0.7625133,ERCOT,7X16
0.70604813,5,1,True,West,0.9280842,0.7607587,ERCOT,7X16
0.7005542,5,1,False,Houston,0.91842383,0.76277876,ERCOT,7X16
0.7312136,5,1,False,North,0.9259486,0.7896914,ERCOT,7X16
0.6999284,5,1,False,Pan,0.91974765,0.76100045,ERCOT,7X16
0.7312136,5,1,False,South,0.9259486,0.7896914,ERCOT,7X16
0.7312136,5,1,False,West,0.9280842,0.7878742,ERCOT,7X16
0.65851843,6,1,True,Houston,0.9331908,0.7056632,ERCOT,7X16
0.6838671,6,1,True,North,0.9387619,0.7284777,ERCOT,7X16
0.65789264,6,1,True,Pan,0.9341752,0.70424974,ERCOT,7X16
0.6838671,6,1,True,South,0.9388954,0.7283741,ERCOT,7X16
0.6838671,6,1,True,West,0.93868357,0.72853845,ERCOT,7X16
0.68751514,6,1,False,Houston,0.9331908,0.7367359,ERCOT,7X16
0.7090326,6,1,False,North,0.9387619,0.7552848,ERCOT,7X16
0.68688935,6,1,False,Pan,0.9341752,0.73528963,ERCOT,7X16
